,NIM,Label
0,1202160002,0
1,1202160009,0
2,1202160010,1
3,1202160011,0
4,1202160013,0
5,1202160015,0
6,1202160019,0
7,1202160020,1
8,1202160023,0
9,1202160024,0
10,1202160028,0
11,1202160030,0
12,1202160034,0
13,1202160036,1
14,1202160041,0
15,1202160043,0
16,1202160044,0
17,1202160045,0
18,1202160046,0
19,1202160047,0
20,1202160048,0
21,1202160050,0
22,1202160051,0
23,1202160052,0
24,1202160053,1
25,1202160054,0
26,1202160055,0
27,1202160057,0
28,1202160059,0
29,1202160061,0
30,1202160062,0
31,1202160063,0
32,1202160066,0
33,1202160067,1
34,1202160070,0
35,1202160074,0
36,1202160076,1
37,1202160080,0
38,1202160082,0
39,1202160083,0
40,1202160084,0
41,1202160086,0
42,1202160088,0
43,1202160089,0
44,1202160093,0
45,1202160095,1
46,1202160096,0
47,1202160098,0
48,1202160101,0
49,1202160103,0
50,1202160105,0
51,1202160107,0
52,1202160110,0
53,1202160111,0
54,1202160112,0
55,1202160117,0
56,1202160118,0
57,1202160120,0
58,1202160121,0
59,1202160124,0
60,1202160126,0
61,1202160127,0
62,1202160130,0
63,1202160132,0
64,1202160133,0
65,1202160134,0
66,1202160135,0
67,1202160138,0
68,1202160141,0
69,1202160145,0
70,1202160148,0
71,1202160151,0
72,1202160153,1
73,1202160154,0
74,1202160155,0
75,1202160160,0
76,1202160167,0
77,1202160169,0
78,1202160171,0
79,1202160173,0
80,1202160178,0
81,1202160179,0
82,1202160180,0
83,1202160182,0
84,1202160183,0
85,1202160184,0
86,1202160185,0
87,1202160186,0
88,1202160190,0
89,1202160191,1
90,1202160192,0
91,1202160195,0
92,1202160196,0
93,1202160197,0
94,1202160200,0
95,1202160202,0
96,1202160205,0
97,1202160206,0
98,1202160210,0
99,1202160212,0
100,1202160214,0
101,1202160215,0
102,1202160216,0
103,1202160217,1
104,1202160218,1
105,1202160219,1
106,1202160222,0
107,1202160227,1
108,1202160229,0
109,1202160232,1
110,1202160234,0
111,1202160236,0
112,1202160237,0
113,1202160240,0
114,1202160247,1
115,1202160248,0
116,1202160251,0
117,1202160253,0
118,1202160255,0
119,1202160256,0
120,1202160257,0
121,1202160258,0
122,1202160262,0
123,1202160264,0
124,1202160265,1
125,1202160266,0
126,1202160267,0
127,1202160268,0
128,1202160269,0
129,1202160277,0
130,1202160278,0
131,1202160281,0
132,1202160282,0
133,1202160283,0
134,1202160288,0
135,1202160292,0
136,1202160293,0
137,1202160294,0
138,1202160295,0
139,1202160297,1
140,1202160299,0
141,1202160300,0
142,1202160303,0
143,1202160308,0
144,1202160313,1
145,1202160316,0
146,1202160320,0
147,1202160321,0
148,1202160322,0
149,1202160324,0
150,1202160325,0
151,1202160326,0
152,1202160327,0
153,1202160330,1
154,1202160332,0
155,1202160333,0
156,1202160338,1
157,1202160339,0
158,1202160340,0
159,1202160341,0
160,1202160342,0
161,1202160347,1
162,1202160352,1
163,1202160353,0
164,1202160354,1
165,1202160355,1
166,1202160357,1
167,1202160358,0
168,1202160360,0
169,1202160362,0
170,1202160365,0
171,1202160370,0
172,1202160372,0
173,1202160375,0
174,1202160380,0
175,1202160381,0
176,1202160382,0
177,1202160383,0
178,1202160385,0
179,1202160396,0
180,1202160398,0
181,1202160400,1
182,1202161228,0
183,1202162004,0
184,1202162006,0
185,1202162042,0
186,1202162097,0
187,1202162137,0
188,1202162144,0
189,1202162175,0
190,1202162198,1
191,1202162252,0
192,1202162274,0
193,1202162310,0
194,1202162319,0
195,1202162336,0
196,1202162337,0
197,1202162343,0
198,1202162356,0
199,1202162369,0
200,1202162376,0
201,1202162378,0
202,1202162384,0
203,1202162386,0
204,1202162389,0
205,1202163018,0
206,1202163060,0
207,1202163099,0
208,1202163104,0
209,1202163115,0
210,1202163119,0
211,1202163163,0
212,1202163170,0
213,1202163220,1
214,1202163239,0
215,1202163246,0
216,1202163259,0
217,1202163291,1
218,1202163296,0
219,1202163401,1
220,1202163402,1
221,1202164001,0
222,1202164003,0
223,1202164005,0
224,1202164007,0
225,1202164008,1
226,1202164012,0
227,1202164014,0
228,1202164016,0
229,1202164017,0
230,1202164021,0
231,1202164022,1
232,1202164025,0
233,1202164026,1
234,1202164027,0
235,1202164029,0
236,1202164031,0
237,1202164032,0
238,1202164033,0
239,1202164035,0
240,1202164037,0
241,1202164038,0
242,1202164039,0
243,1202164040,0
244,1202164049,1
245,1202164056,0
246,1202164058,0
247,1202164064,0
248,1202164065,0
249,1202164068,0
250,1202164069,0
251,1202164071,0
252,1202164072,0
253,1202164073,0
254,1202164075,1
255,1202164077,0
256,1202164078,1
257,1202164079,0
258,1202164081,0
259,1202164085,0
260,1202164087,0
261,1202164090,0
262,1202164091,0
263,1202164092,0
264,1202164094,0
265,1202164100,1
266,1202164102,0
267,1202164106,0
268,1202164108,1
269,1202164109,0
270,1202164113,0
271,1202164114,0
272,1202164116,0
273,1202164121,0
274,1202164122,0
275,1202164123,0
276,1202164125,0
277,1202164128,0
278,1202164129,0
279,1202164131,0
280,1202164136,0
281,1202164139,0
282,1202164140,0
283,1202164142,0
284,1202164143,0
285,1202164146,0
286,1202164147,0
287,1202164149,0
288,1202164150,0
289,1202164152,0
290,1202164156,0
291,1202164157,0
292,1202164158,0
293,1202164159,0
294,1202164161,0
295,1202164162,0
296,1202164164,1
297,1202164165,0
298,1202164166,0
299,1202164168,0
300,1202164172,0
301,1202164174,0
302,1202164176,0
303,1202164177,0
304,1202164181,0
305,1202164187,0
306,1202164188,0
307,1202164189,0
308,1202164193,0
309,1202164194,0
310,1202164199,1
311,1202164201,0
312,1202164203,0
313,1202164204,0
314,1202164207,0
315,1202164208,1
316,1202164209,0
317,1202164211,0
318,1202164213,0
319,1202164221,0
320,1202164223,0
321,1202164224,0
322,1202164225,0
323,1202164226,1
324,1202164230,0
325,1202164231,1
326,1202164233,0
327,1202164235,0
328,1202164238,0
329,1202164241,0
330,1202164242,0
331,1202164243,0
332,1202164244,0
333,1202164245,0
334,1202164249,0
335,1202164250,0
336,1202164254,0
337,1202164260,0
338,1202164261,0
339,1202164263,0
340,1202164270,0
341,1202164271,0
342,1202164272,0
343,1202164273,0
344,1202164275,0
345,1202164276,0
346,1202164279,0
347,1202164280,0
348,1202164284,0
349,1202164285,0
350,1202164286,0
351,1202164287,0
352,1202164289,0
353,1202164290,0
354,1202164298,1
355,1202164301,0
356,1202164302,0
357,1202164304,0
358,1202164305,0
359,1202164306,0
360,1202164307,0
361,1202164309,1
362,1202164311,1
363,1202164312,0
364,1202164314,0
365,1202164315,0
366,1202164317,1
367,1202164318,1
368,1202164323,0
369,1202164328,0
370,1202164329,0
371,1202164331,0
372,1202164334,0
373,1202164335,0
374,1202164344,0
375,1202164345,0
376,1202164346,1
377,1202164348,0
378,1202164349,0
379,1202164350,0
380,1202164351,0
381,1202164359,0
382,1202164361,1
383,1202164363,0
384,1202164364,0
385,1202164366,0
386,1202164367,0
387,1202164368,0
388,1202164371,0
389,1202164373,0
390,1202164374,0
391,1202164377,1
392,1202164379,1
393,1202164387,0
394,1202164388,1
395,1202164390,0
396,1202164391,0
397,1202164392,0
398,1202164393,1
399,1202164394,1
400,1202164395,0
401,1202164397,0
402,1202164399,0
